AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,5,getP,short(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,6,getQ,short(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,7,setG,void(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,8,setP,void(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,9,setQ,void(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,10,getX,short(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,11,setX,void(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,6,DSAPublicKey,virtual,1,getSize,short()
A0000000620102,javacard.security,6,DSAPublicKey,virtual,2,getType,byte()
A0000000620102,javacard.security,6,DSAPublicKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,6,DSAPublicKey,virtual,4,getG,short(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,5,getP,short(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,6,getQ,short(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,7,setG,void(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,8,setP,void(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,9,setQ,void(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,10,getY,short(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,virtual,11,setY,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,0,setFieldFP,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,1,setFieldF2M,void(short)
A0000000620102,javacard.security,17,ECKey,virtual,2,setFieldF2M,void(short;short;short)
A0000000620102,javacard.security,17,ECKey,virtual,3,setA,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,4,setB,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,5,setG,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,6,setR,void(byte[];short;short)
A0000000620102,javacard.security,17,ECKey,virtual,7,setK,void(short)
A0000000620102,javacard.security,17,ECKey,virtual,8,getField,short(byte[];short)
A0000000620102,javacard.security,17,ECKey,virtual,9,getA,short(byte[];short)
A0000000620102,javacard.security,17,ECKey,virtual,10,getB,short(byte[];short)
A0000000620102,javacard.security,17,ECKey,virtual,11,getG,short(byte[];short)
A0000000620102,javacard.security,17,ECKey,virtual,12,getR,short(byte[];short)
A0000000620102,javacard.security,17,ECKey,virtual,13,getK,short()
A0000000620102,javacard.security,17,ECKey,virtual,14,copyDomainParametersFrom,void(javacard.security.ECKey)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,18,ECPrivateKey,virtual,1,getSize,short()
A0000000620102,javacard.security,18,ECPrivateKey,virtual,2,getType,byte()
A0000000620102,javacard.security,18,ECPrivateKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,18,ECPrivateKey,virtual,4,setFieldFP,void(byte[];short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,5,setFieldF2M,void(short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,6,setFieldF2M,void(short;short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,7,setA,void(byte[];short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,8,setB,void(byte[];short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,9,setG,void(byte[];short;short)
